annotator,title,comment_id,comment_text,author,stance_pro,stance_con,argument_type,pathos_type,ethos_appeal,ethos_challenge,word_count,context,timestamp,published_date,like_count,mentions,root_comment_id,root_comment_text,lang
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,user_0001,iran,israel,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.), sarcasm/irony(the opposite meaning)",,,25,,2024-04-13 22:03:44+00:00,2024-04-13T22:03:44Z,4617.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BTf34G8Dh,Exacty,user_0002,iran,israel,,,,,1,,2024-04-13 22:20:46+00:00,2024-04-13T22:20:46Z,219.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BTkmg5-ro,Get informed. Hamas attacked first. They are funded by Iran.,user_0003,israel,"iran, hamas","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,10,,2024-04-13 22:21:33+00:00,2024-04-13T22:21:33Z,3.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BTmYaRj9J,We are complete hypocrites,user_0004,,the west,"appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,the west,4,,2024-04-13 22:21:47+00:00,2024-04-13T22:21:47Z,81.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BTonwG1jm,do u think Iran is part of Gaza? Silly boy,user_0005,,iran,"appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)",sarcasm/irony(the opposite meaning),,user,10,,2024-04-13 22:22:06+00:00,2024-04-13T22:22:06Z,559.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BTpjN0H-Z,Correct only Israel have the right to defend itself. Why because everyone else is human animals ❓,user_0006,israel,"iran, the west","appeal to emotion or moral values (pathos), none","negative emotion (fear, anger, guilt, etc.)",,,17,,2024-04-13 22:22:13+00:00,2024-04-13T22:22:13Z,0.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BTsUTN7XI,exactly by that prospective iran has the right to defend,user_0007,iran,,"appeal to reason, giving evidence (logos)",,,,11,,2024-04-13 22:22:36+00:00,2024-04-13T22:22:36Z,173.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BTt4yEb5H,No Iran attacked Isreal through proxies first ..Pray for Iran..hope u have all ur ceasefire jackets ready bec u will need it,user_0008,israel,"iran, iran's attack","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.), sarcasm/irony(the opposite meaning)",,,22,,2024-04-13 22:22:41+00:00,2024-04-13T22:22:41Z,182.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BTw4R5Hq-,Yes it is. The Islamic Regime funds Hezbollah and Hamas. They're the same thing silly boy,user_0009,israel,"iran, hamas","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,17,do u think Iran is part of Gaza? Silly boy,2024-04-13 22:23:06+00:00,2024-04-13T22:23:06Z,1.0,klausmaus1886,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BTwYTbTq_,Israel was defending itself idiot terrorist,user_0010,israel,iran,appeal to emotion or moral values (pathos),"negative emotion (fear, anger, guilt, etc.)",,,6,,2024-04-13 22:23:09+00:00,2024-04-13T22:23:09Z,0.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BTzDtX9_T,"Iran was financing attacks against Israel for a long time. Just because they were not directly involved, it doesn’t mean they can deny this. Israel had all the right to hit Iranian targets to defend itself",user_0011,"israel, iranian embassy bombing",iran,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,36,,2024-04-13 22:23:31+00:00,2024-04-13T22:23:31Z,175.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BU03C51jg,This is a silly comment. Iran has been attacking Israel through proxies like Hamas and other organisations,user_0012,israel,"iran, iran's attack, hamas","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,17,,2024-04-13 22:23:46+00:00,2024-04-13T22:23:46Z,0.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BU2OTu7a3,​please!,user_0013,,,,,,,1,,2024-04-13 22:24:05+00:00,2024-04-13T22:24:05Z,0.0,elsoil3387,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BU3KFeb-Z,"So you just ignore the millions of dollars and weapons that Iran has supplied. So yes, Gaza is basically Iranian territory.",user_0014,iran,israel,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,22,do u think Iran is part of Gaza? Silly boy,2024-04-13 22:24:13+00:00,2024-04-13T22:24:13Z,132.0,klausmaus1886,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BU53ebS59,Only brown people not allowed,user_0015,,,,,,,5,,2024-04-13 22:24:27+00:00,2024-04-13T22:24:27Z,0.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BU568PB-D,BIBI bragged about funding hamas. US funds ISIS.,user_0016,,"israel, the west","appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,"netanyahu, the us, user",9,No Iran attacked Isreal through proxies first ..Pray for Iran..hope u have all ur ceasefire jackets ready bec u will need it,2024-04-13 22:24:28+00:00,2024-04-13T22:24:28Z,0.0,koloni2862,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BU6KvFae2,hey muppet the difference was that Israel attacked an Iranian consulate in a foreign country. If these attacks land in Israel its full on war with Iran. I doubt these threats are meant to hit targets in Israel but if even one lands in Israel its an actual escalation to full blown war with Iran.,user_0017,israel,iran's attack,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,55,,2024-04-13 22:24:37+00:00,2024-04-13T22:24:37Z,0.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BU8KF0BCm,​ did you forget 75 yrs of Israeli genocide and Apartheid?,user_0018,,israel,"appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,"user, israel",11,,2024-04-13 22:24:54+00:00,2024-04-13T22:24:54Z,125.0,elsoil3387,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BU8_FDCH1,What UK will do about it?,user_0019,,,,,,,7,do u think Iran is part of Gaza? Silly boy,2024-04-13 22:24:56+00:00,2024-04-13T22:24:56Z,0.0,klausmaus1886,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
