annotator,title,comment_id,comment_text,context,stance_pro,stance_con,word_count
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,"aide a l ukraine, emmanuel macron",12
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HGkyRM_cz,"Bonne idee..
Pour les inscrire sur la liste des electeurs ''Ukrainiens'' et auront le droit de vote....pour assurer le prochain Mandat pour Zelensky...",Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,guerre en ukraine,23
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HGwMWcWKd,Non seulement Macron et ses amis mais aussi les JOURNALEUX de bfmtv…,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,"bfmtv, emmanuel macron, journalisme francais",12
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HHyF7IpQ2,quelle bonne idée !,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,"aide a l ukraine, emmanuel macron",4
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HJbXZXPp1,Bravo 👏 est Brigitte avec,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,emmanuel macron,5
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HJl_IuLtK,Bonne idée 😂😂😂,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,emmanuel macron,3
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HL1VLF4kR,Je valide,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,aide a l ukraine,emmanuel macron,2
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HMy7IqLo-,"Les nouveaux électeurs ou les anciens. PS, je suis un ancien électeur 😂",Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,emmanuel macron,13
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HNzKb1Grk,"Ce serait l ideal,+ tous ses lobbies,+tous ses parlementaires ....isnt'it??",Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,emmanuel macron,10
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HQwN34xAr,On va déjà envoyer le collabo en Russie ça fera le ménage,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,emmanuel macron,12
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HRfwr6Zc-,Excellente idée !,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,"aide a l ukraine, emmanuel macron",3
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HS-J1Kv4g,@user C’est la meilleure idée que quelqu’un pouvait poster en commentaire!!! 👍😆,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,"aide a l ukraine, emmanuel macron",12
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HSjItDCw9,"Le chef d'état français ira sur le front quand le guignol à Moscou fera de même. Pour l'heure c'est le clown le plus protégé de la planète, on se doute pourquoi.",Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,emmanuel macron,vladimir poutine,31
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HTlaWn6hE,".. + Gluksman et autres soldats de salon qui veulent la guerre, j'ouvre une cagnotte pour leur payer l'aller , pas le retour c'est pas la peine 😉et BHL dans la soute.",Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,guerre en ukraine,32
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HWND8L5SH,@user Et de LCI !,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,journalisme francais,5
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HihxHU3GJ,Et toute sa clique ....au gouvernement ....et ..bon débarras ...,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,emmanuel macron,10
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4HwVJ5RNnr,Excellente idée. Cela permettrait à la Russie de gagner totalement cette guerre en 15 jours.,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,"guerre en ukraine, russie",emmanuel macron,15
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4I57SamQuH,Bravo...,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,"aide a l ukraine, emmanuel macron",1
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4I5bZIVNil,"La France devient un ennemi prioritaire, à tuer en premier.",Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,aide a l ukraine,10
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4I7A0wOc6f,"Depuis que le RN dit qu' elle veut destituer Macron, ont n' attends encore pffff tous les mêmes 😡",Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,emmanuel macron,19
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4I7Qc4Rk_S,Les journalopes de LCI avec,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,journalisme francais,5
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4I80EDuj4t,😂😂😂😂😂😂😂😂tous les électeurs de la p'tite poutinette devraient aller en Ukraine aussi 😂😂😂😂 combattre le nazisme 😂😂😂😂😂😂les zombies du goulag s'imaginent gagner la guerre avec l'armée des trolls sur les réseaux sociaux 😂😂😂😂😂😂😂😂😂😂,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,"guerre en ukraine, russie, trolls russes, vladimir poutine",33
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4I8Mw-_QVo,@user oublié LCI etc..,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,journalisme francais,4
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4IAH9pJ9bg,Absolument 😂,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,"aide a l ukraine, emmanuel macron",2
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4IBDj5qh4r,C est pas gagner la cage aux folles contre la Russie 😢😂😂😂,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,russie,emmanuel macron,12
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4IB__vrjeE,Sans oublier Brigitte et Roseline,Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,emmanuel macron,5
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4IBol_Xx7V,"@user 😂😂😂😂😂😂😂ouin ouin zombie du goulag 😂🤣🤣🤣🤣🤣 vous allez voir 🤣🤣🤣🤣🤣 vous êtes juste la Moldavie avec l'arme nucléaire, vous avez que ça en bouche guerre nucléaire guerre nucléaire 🤣🤣🤣🤣🤣🤣🤣",Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,russie,30
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4IEYRLKzPn,"Moi j’aurais ajouté les pro sioniste Pivet, le porc Habib, Attal avec son Crief, ça fera des cons en moins",Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,israel,20
ai,Guerre en Ukraine/ingérence: l'interview du porte-parole de l'ambassade de Russie en intégralité,Ugw7NcMuZ2HOMdXuUV14AaABAg.A4HDeiIf2S9A4IEsai9Zau,"Moi je propose tout les électeurs du RN, de zemmouroïde fan de poutine, ainsi que les journalistes de cnew.",Il faut absolument aider l Ukraine en envoyant macron et ses électeurs,,"journalisme francais, vladimir poutine",19
