annotator,title,comment_id,comment_text,context,stance_pro,stance_con,word_count
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF6qclSTAr4,"@user вы что не понимаете,что это унижение человеческого достоинства?","Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",владимир зеленский,дональд трамп,9
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF6rRx6ZLLc,@user Пару партий на раздевание может с другим игроком будет и интересно. Но не жить до старости. Трампу нужна прибыль от вложений в украину. Для этого нужно прекратить войну. Поэтому Трамп разденет украину и вышвырнет её,"Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",,"война в украине, дональд трамп, помощь украине",36
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF6rhNGt7Cw,"@user Это проститутка, а не твоя жена....Когда женщина играет с тем у кого, на данный момент, лучше карты - проститутка. Жена это та, которая и в горе, и в радости! Вы попутали понятия. О чём Вовка и полмира пытается ВАМ объяснить. Не соблюдение принципов морали приведёт этот мир к краху!","Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",владимир зеленский,дональд трамп,50
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF6rs0MU0d_,"Трамп дал отличный Мастер Класс о том, как надо вести себя с клоунами дорвавшимися до власти и содержанками ....😊","Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",дональд трамп,владимир зеленский,19
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF6sEyzY16W,"@user ЧЕЛОВЕЧЕСКОЕ ДОСТОИНСТВО бывает только у ЛЮДЕЙ, и далеко не у всех людей ! А у наркуш, попрошаек, клоунов его никогда не было ! ☝️","Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",,владимир зеленский,25
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF70X2ritvo,"Просроченный президент украины такой смешной, такой беспомощный .","Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",,владимир зеленский,8
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF73mHvMEEp,Если твоя жена похожа на Зеленского то я тебе сочувствую 😂,"Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",,владимир зеленский,11
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF768fJ1b7c,"@user ахахахаах, ахахахаха. Он красавчик. Он стоял как Лев в окружении этих шакалов. А Путин, поджал хвост и побежал продавать ресурсы страны просто так, что бы травм был к нему добрым😂","Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",владимир зеленский,"дональд трамп, россия",31
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF79TLDOSdr,"@user ему было мириться, сказки не нужно рассказывать😂 послал он и послал😂","Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",дональд трамп,владимир зеленский,12
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF7CTOoABtT,"@user С некоторыми людьми по-другому не получается - они не понимают ни намеков, ни прямой речи, не осознают фактического положения дел.","Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",дональд трамп,владимир зеленский,21
