category,target,country,scoped_to,alias_any,alias_en,alias_nl,alias_de,alias_fr,alias_ru,n_aliases,sitelinks,source,your_decision,your_note
COUNTRY,United States,,any,u.s.; us; usa,america; american; americans; the west; u.s.; us; usa; west; western; western world,amerika; amerikaanse; amerikanen; de vs; het westen; u.s.; us; usa; verenigde staten; westerse,amerika; amerikaner; der westen; u.s.; us; usa; vereinigte staaten; westlich,américain; américains; amérique; etats-unis; occident; occidental; u.s.; us; usa; états-unis,u.s.; us; usa; америка; американский; американцы; запад; западный; сша,17,,hand,,
COUNTRY,United Kingdom,,any,uk,britain; british; brits; great britain; the british; uk,brits; britten; groot-brittannië; uk,briten; grossbritannien; großbritannien; uk,britanniques; grande-bretagne; royaume-uni; uk,uk; британия; британцы; великобритания,12,,hand,,also incorrect spelling? etas unis?
COUNTRY,France,,any,,france; french; the french,frankrijk; frans; fransen,frankreich; franzosen,france; français; les français,франция; французский; французы,8,,hand,,
COUNTRY,Belgium,,any,,belgian; belgians; belgium,belgen; belgie; belgisch; belgië,belgien; belgier,belge; belges; belgique,бельгийцы; бельгия,9,,hand,,
COUNTRY,Germany,,any,,german; germans; germany,duits; duitsers; duitsland,deutsch; deutsche; deutschland,allemagne; allemand; allemands,германия; немецкий; немцы,10,,hand,,
COUNTRY,Netherlands,,any,,dutch; holland; netherlands; the dutch,nederland; nederlanders; nederlandse,niederlande; niederländer,néerlandais; pays-bas,голландия; голландцы; нидерланды,9,,hand,,
COUNTRY,Russia,,any,,russia; russian,rusland; russisch,russland,russe; russie,ватники; орки; рашисты; рашка; российский; россия; россияне; русня; русские,10,,hand,,"россияне; also add some common derogative terms? like орки, ватники, ватнички, вата"
COUNTRY,Ukraine,,any,,ukraine; ukrainian,oekraine; oekraïens; oekraïne,ukraine,ukraine; ukrainien,незалежная; украина; украинский; украинцы; україна; укропы; укры; хохлы,9,,hand,,"add укры, укропы, хохлы"
COUNTRY,Israel,,any,,israel; israeli; israelis,israel; israël; israëlisch; israëliërs,israel; israelis,israel; israéliens; israël,израиль; израильтяне,5,,hand,,
COUNTRY,Palestine,,any,gaza,gaza; palestine; palestinian; palestinians; west bank,gaza; palestijnen; palestijns; palestina,gaza; palästina,gaza; palestine; palestinien,gaza; газа; палестина,12,,hand,,
COUNTRY,China,,any,,china; chinese; chinese people,china; chinees; chinezen,china; chinesen; chinesisch,chine; chinois,китай; китайский; китайцы,7,,hand,,
COUNTRY,Taiwan,,any,taiwan,taiwan; taiwanese,taiwan; taiwanees,taiwan; taiwanesisch,taiwan; taïwanais,taiwan; тайвань; тайваньцы,3,,hand,,
COUNTRY,Iran,,any,iran,iran; iranian; iranians,iraans; iran; iraniërs,iran; iraner; iranisch,iran; iranien; iraniens,iran; иран; иранцы,5,,hand,,
COUNTRY,Turkey,,any,,turkey; turkish; turks,turken; turkije; turks,türkei; türken,turcs; turquie,турки; турция,7,,hand,,
COUNTRY,Poland,,any,,poland; poles; polish,polen; pools,polen; polnisch,pologne; polonais,польский; польша; поляки,5,,hand,,Add nationalities for all?
COUNTRY,Syria,,any,,syria; syrian; syrians,syrië; syriërs,syrer; syrien,syrie; syriens,сирийцы; сирия,6,,hand,,
COUNTRY,Afghanistan,,any,afghanistan,afghan; afghanistan,afghaans; afghanen; afghanistan,afghanen; afghanisch; afghanistan,afghan; afghanistan; afghans,afghanistan; афганистан; афганцы,3,,hand,,
COUNTRY,Saudi Arabia,,any,saudi,saudi; saudi arabia,saoedi-arabië; saudi,saudi; saudi-arabien,arabie saoudite; saudi,saudi; саудовская аравия,6,,hand,,
COUNTRY,India,,any,india,india; indian; indians,india; indiërs,inder; india,inde; india; indiens,india; индийцы; индия,4,,hand,,
COUNTRY,Japan,,any,japan,japan; japanese,japan; japanners; japans,japan; japaner; japanisch,japan; japon; japonais,japan; япония; японцы,5,,hand,,
COUNTRY,North Korea,,any,,north korea,noord-korea,nordkorea,corée du nord,северная корея,5,,hand,,
COUNTRY,European Union,,any,eu,eu; europe; european union,eu; europa; europees; europese unie,eu; europa; europäische union,eu; europe; union européenne,eu; европа; евросоюз; ес,11,,hand,,
